date,ticker,name,group,close,ret5_pct,ret20_pct,volume,avg_vol20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,grade,ret1_pct,ret3_pct,ret10_pct,volume_ratio20,ma5,ma10,drawdown20_pct,drawdown60_pct,bias5_pct,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag
2026-04-10,0050.TW,元大台灣50,etf,80.75,7.02,3.26,115520077,117819512,76.01,74.36,68.11,-0.49,6.24,4,1,NONE,開始轉強,還在觀察,,2.02,,5.97,0.98,,,,,,,,,,
2026-04-13,0050.TW,元大台灣50,etf,80.6,8.99,5.22,87581345,116164569,76.21,74.56,68.27,-0.68,5.76,5,1,NONE,開始轉強,還在觀察,,-0.19,,6.33,0.75,,,,,,midlong_core,,,,
2026-04-14,0050.TW,元大台灣50,etf,83.1,10.36,9.41,123920345,117062073,76.57,74.79,68.46,0.0,8.53,5,2,TREND,開始轉強,中段延續中,,3.1,,10.8,1.06,,,,,,midlong_core,0.0,正常,,
2026-04-16,0050.TW,元大台灣50,etf,84.6,6.82,11.9,23615297,113360346,77.02,75.05,68.66,0.0,9.85,5,2,TREND,開始轉強,中段延續中,,1.81,,14.48,0.21,,,,,,midlong_core,0.0,正常,,
2026-04-15,0050.TW,元大台灣50,etf,84.15,6.25,11.31,122414906,118300327,77.0,75.04,68.66,0.0,9.29,3,2,TREND,一般觀察,中段延續中,,1.26,,13.87,1.03,,,,,,midlong_core,0.0,正常,,
2026-04-17,0050.TW,元大台灣50,etf,84.15,4.21,8.16,93304532,120124475,77.73,75.56,69.07,-1.0,8.26,4,2,TREND,開始轉強,中段延續中,,-1.0,,11.53,0.78,,,,,,midlong_core,0.0,正常,,
2026-04-20,0050.TW,元大台灣50,etf,84.55,4.9,11.25,95994589,118485265,78.16,75.81,69.27,-0.53,8.18,4,2,TREND,開始轉強,中段延續中,,0.48,,14.33,0.81,,,,,,midlong_core,0.0,正常,,
2026-04-22,0050.TW,元大台灣50,etf,86.35,2.61,16.3,67302374,111561390,79.27,76.36,69.67,0.0,8.93,4,2,TREND,開始轉強,中段延續中,,0.41,,9.03,0.6,,,,,,midlong_core,0.0,正常,1.98,穩健
